,MODEL,F1_TRAIN,F1_TEST,ACC_TRAIN,  ACC_TEST  ,EPOCHS,Precision,Recall,Optimal_Threshold
29,"L= 4, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.6170895304753572,0.5971563981042655,0.835875,0.83,62,0.5833333333333334,0.6116504854368932,0.2615021765232086
30,"L= 2, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.4312408146126391,0.4316423043852107,0.661375,0.6695,27,0.33422103861517977,0.6092233009708737,0.2669835686683655
31,"L= 3, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.41394422310756973,0.40927258193445243,0.63225,0.6305,22,0.30512514898688914,0.6213592233009708,0.24938082695007324
32,"L= 4, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.37154737154737155,0.3666469544648137,0.471,0.4645,21,0.24237685691946834,0.7524271844660194,0.2402580976486206
33,"L= 2, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.4575079872204473,0.4234309623430962,0.681625,0.6555,22,0.3231162196679438,0.6140776699029126,0.23030969500541687
34,"L= 3, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.46702870442203265,0.4867162592986185,0.742375,0.7585,22,0.43289224952741023,0.5558252427184466,0.28211086988449097
35,"L= 4, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.44815588030619347,0.4386129334582943,0.702625,0.7005,21,0.35725190839694654,0.5679611650485437,0.2480805218219757
36,"L= 2, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.5353788353162179,0.4981226533166458,0.8145,0.7995,58,0.5142118863049095,0.4830097087378641,0.3383105397224426
37,"L= 3, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.3913644214162349,0.37777777777777777,0.5595,0.552,21,0.26459143968871596,0.6601941747572816,0.20768630504608154
38,"L= 4, N=10, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.47266035751840163,0.46284501061571126,0.74925,0.747,21,0.41132075471698115,0.529126213592233,0.2532188892364502
39,"L= 2, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6227217496962333,0.6024691358024691,0.84475,0.839,76,0.6130653266331658,0.5922330097087378,0.3354851007461548
40,"L= 3, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6246001744693225,0.5928571428571429,0.838625,0.829,58,0.5817757009345794,0.6043689320388349,0.30940502882003784
41,"L= 4, N=20, LR=0.0001, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6198898231371411,0.5869565217391305,0.836125,0.829,43,0.5841346153846154,0.5898058252427184,0.29280614852905273
42,"L= 2, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.5423122765196663,0.5330132052821128,0.808,0.8055,64,0.5273159144893111,0.5388349514563107,0.314185231924057
43,"L= 3, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.4161504932323927,0.41750227894257064,0.681875,0.6805,21,0.3343065693430657,0.5558252427184466,0.23518484830856323
44,"L= 4, N=10, LR=0.0001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.39609582963620227,0.3750894774516822,0.574625,0.5635,21,0.265989847715736,0.6359223300970874,0.18608534336090088
45,"L= 2, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6246786632390746,0.5894465894465896,0.854,0.8405,81,0.6273972602739726,0.5558252427184466,0.36530762910842896
46,"L= 3, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.5261472785485591,0.49092849519743864,0.778,0.7615,56,0.4380952380952381,0.558252427184466,0.2726382315158844
47,"L= 4, N=20, LR=0.0001, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.47829716193656097,0.46476510067114096,0.6875,0.681,21,0.35512820512820514,0.6723300970873787,0.2022208869457245
48,"L= 2, N=10, LR=0.001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6295736316903539,0.6109725685785535,0.846875,0.844,36,0.6282051282051282,0.5946601941747572,0.3143943250179291
49,"L= 3, N=10, LR=0.001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6246507295870848,0.5942571785268415,0.848875,0.8375,51,0.6118251928020566,0.5776699029126213,0.3205747604370117
50,"L= 4, N=10, LR=0.001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.5165179647938268,0.4962121212121212,0.749375,0.734,21,0.40683229813664595,0.6359223300970874,0.2415938377380371
51,"L= 2, N=20, LR=0.001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6268656716417911,0.5894465894465896,0.853125,0.8405,28,0.6273972602739726,0.5558252427184466,0.3425534963607788
52,"L= 3, N=20, LR=0.001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6277742549143944,0.6041131105398458,0.85325,0.846,29,0.6420765027322405,0.5703883495145631,0.3367323875427246
53,"L= 4, N=20, LR=0.001, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.6230936819172114,0.5972396486825596,0.848625,0.8395,28,0.6181818181818182,0.5776699029126213,0.31663522124290466
54,"L= 2, N=10, LR=0.001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6226537216828479,0.5854304635761588,0.85425,0.8435,40,0.6443148688046647,0.5364077669902912,0.35237228870391846
55,"L= 3, N=10, LR=0.001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.5265392781316348,0.5121180189673341,0.777,0.7685,55,0.45251396648044695,0.5898058252427184,0.26640191674232483
56,"L= 4, N=10, LR=0.001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.5572755417956656,0.5341488277268095,0.7855,0.7715,21,0.46045694200351495,0.6359223300970874,0.2656328082084656
57,"L= 2, N=20, LR=0.001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6238594119635011,0.5773480662983426,0.860875,0.847,30,0.6698717948717948,0.5072815533980582,0.38949060440063477
58,"L= 3, N=20, LR=0.001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.6290030211480362,0.6076260762607626,0.8465,0.8405,31,0.6159600997506235,0.5995145631067961,0.30820825695991516
59,"L= 4, N=20, LR=0.001, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.601311270683734,0.5645569620253164,0.840375,0.828,21,0.58994708994709,0.5412621359223301,0.3213236927986145
60,"L= 2, N=10, LR=0.001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6235186873290793,0.59727385377943,0.845125,0.8375,33,0.610126582278481,0.5849514563106796,0.3209741711616516
61,"L= 3, N=10, LR=0.001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6184554973821991,0.5918097754293263,0.85425,0.8455,39,0.6492753623188405,0.5436893203883495,0.3475642502307892
62,"L= 4, N=10, LR=0.001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6187270501835985,0.6022584692597239,0.84425,0.8415,31,0.6233766233766234,0.5825242718446602,0.33492669463157654
63,"L= 2, N=20, LR=0.001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.627113026184952,0.5880758807588076,0.859375,0.848,28,0.6656441717791411,0.5266990291262136,0.3807470202445984
64,"L= 3, N=20, LR=0.001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6282011724776304,0.6045340050377834,0.849375,0.843,27,0.6282722513089005,0.5825242718446602,0.3301885426044464
65,"L= 4, N=20, LR=0.001, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.6323170731707317,0.6151930261519303,0.84925,0.8455,37,0.6317135549872123,0.5995145631067961,0.3274686932563782
66,"L= 2, N=10, LR=0.001, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.5221569674319273,0.5187566988210075,0.77625,0.7755,42,0.46449136276391556,0.587378640776699,0.26606041193008423
