,MODEL,F1_TRAIN,F1_TEST,ACC_TRAIN,  ACC_TEST  ,EPOCHS,Precision,Recall,Optimal_Threshold
126,"L= 2, N=10, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6361614235780108,0.6053639846743295,0.856875,0.8455,35,0.6388140161725068,0.5752427184466019,0.3087683320045471
127,"L= 3, N=10, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6432498472816127,0.6050632911392405,0.854,0.844,34,0.6322751322751323,0.5800970873786407,0.30216991901397705
128,"L= 4, N=10, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6492699596147872,0.6060606060606061,0.858875,0.844,42,0.631578947368421,0.5825242718446602,0.40436220169067383
129,"L= 2, N=20, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6568658116984673,0.6053639846743295,0.862875,0.8455,40,0.6388140161725068,0.5752427184466019,0.3076190650463104
130,"L= 3, N=20, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6557484441532918,0.598105548037889,0.868625,0.8515,25,0.6758409785932722,0.5364077669902912,0.3798891305923462
131,"L= 4, N=20, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6606914212548015,0.6041666666666666,0.8675,0.848,25,0.651685393258427,0.5631067961165048,0.3544485569000244
132,"L= 2, N=10, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6477337923121056,0.5867287543655413,0.8465,0.8225,42,0.5637583892617449,0.6116504854368932,0.2703406810760498
133,"L= 3, N=10, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6447494414299393,0.5834394904458599,0.860875,0.8365,25,0.613941018766756,0.5558252427184466,0.3132469058036804
134,"L= 4, N=10, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6625039025913205,0.5902061855670102,0.864875,0.841,30,0.6291208791208791,0.5558252427184466,0.3301580846309662
135,"L= 2, N=20, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6551398931153727,0.5868725868725869,0.862875,0.8395,24,0.6246575342465753,0.5533980582524272,0.32337507605552673
136,"L= 3, N=20, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6647673314339981,0.6005154639175256,0.867625,0.845,25,0.6401098901098901,0.5655339805825242,0.31582123041152954
137,"L= 4, N=20, LR=0.010000000000000002, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.6715514495062122,0.5905006418485237,0.871125,0.8405,46,0.6267029972752044,0.558252427184466,0.32919126749038696
138,"L= 2, N=10, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6479672234478412,0.5798212005108556,0.860375,0.8355,44,0.6118598382749326,0.5509708737864077,0.3206455111503601
139,"L= 3, N=10, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6400765794511806,0.5961290322580645,0.859,0.8435,28,0.6363636363636364,0.5606796116504854,0.34468841552734375
140,"L= 4, N=10, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.642668428005284,0.5850340136054423,0.86475,0.8475,34,0.6656346749226006,0.5218446601941747,0.35349392890930176
141,"L= 2, N=20, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6596664607782582,0.5918367346938774,0.86225,0.84,29,0.6236559139784946,0.5631067961165048,0.33137017488479614
142,"L= 3, N=20, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6617298578199052,0.6161251504211792,0.85725,0.8405,28,0.6109785202863962,0.6213592233009708,0.2970149517059326
143,"L= 4, N=20, LR=0.010000000000000002, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6533078880407125,0.612565445026178,0.86375,0.852,26,0.6647727272727273,0.5679611650485437,0.3210804760456085
144,"L= 2, N=10, LR=0.1, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
145,"L= 3, N=10, LR=0.1, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
146,"L= 4, N=10, LR=0.1, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
147,"L= 2, N=20, LR=0.1, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
148,"L= 3, N=20, LR=0.1, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
149,"L= 4, N=20, LR=0.1, batch_size=16, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
150,"L= 2, N=10, LR=0.1, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.5163833456516383,0.5014520813165537,0.754625,0.7425,21,0.4170692431561997,0.6286407766990292,0.24849411845207214
151,"L= 3, N=10, LR=0.1, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
152,"L= 4, N=10, LR=0.1, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
153,"L= 2, N=20, LR=0.1, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.5029527559055118,0.4865403788634098,0.7475,0.7425,32,0.4128595600676819,0.5922330097087378,0.21024587750434875
154,"L= 3, N=20, LR=0.1, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
155,"L= 4, N=20, LR=0.1, batch_size=32, regularizer=True, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
156,"L= 2, N=10, LR=0.1, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.5153719784088242,0.499535747446611,0.741875,0.7305,29,0.4045112781954887,0.6529126213592233,0.2248174250125885
157,"L= 3, N=10, LR=0.1, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
158,"L= 4, N=10, LR=0.1, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
159,"L= 2, N=20, LR=0.1, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.5137861466039004,0.4955277280858676,0.728875,0.718,29,0.3923512747875354,0.6723300970873787,0.21078398823738098
160,"L= 3, N=20, LR=0.1, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
161,"L= 4, N=20, LR=0.1, batch_size=16, regularizer=True, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
162,"L= 2, N=10, LR=0.1, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.5150697255960415,0.4950672645739911,0.7305,0.7185,40,0.39260312944523473,0.6699029126213593,0.21184396743774414
163,"L= 3, N=10, LR=0.1, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.512434405658225,0.49362477231329693,0.732875,0.722,34,0.39504373177842567,0.6577669902912622,0.21761706471443176
164,"L= 4, N=10, LR=0.1, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
165,"L= 2, N=20, LR=0.1, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.5133908306854289,0.4932249322493225,0.732,0.7195,30,0.39280575539568346,0.662621359223301,0.21467509865760803
166,"L= 3, N=20, LR=0.1, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.5114382785956966,0.49009009009009014,0.730375,0.717,33,0.38968481375358166,0.6601941747572816,0.21303340792655945
167,"L= 4, N=20, LR=0.1, batch_size=32, regularizer=True, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
168,"L= 2, N=10, LR=0.1, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
169,"L= 3, N=10, LR=0.1, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.15580597746202843,0.1381957773512476,0.784625,0.7755,21,0.3302752293577982,0.08737864077669903,0.19743844866752625
170,"L= 4, N=10, LR=0.1, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
171,"L= 2, N=20, LR=0.1, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
172,"L= 3, N=20, LR=0.1, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.3700284090909091,0.376425855513308,0.33475,0.344,21,0.23404255319148937,0.9611650485436893,0.21065279841423035
173,"L= 4, N=20, LR=0.1, batch_size=16, regularizer=False, drop_out=True, Opt=Adam, relu",0.0,0.0,0.796875,0.794,21,0.0,0.0,0.0
174,"L= 2, N=10, LR=0.1, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.6241528034504006,0.5849999999999999,0.8475,0.834,21,0.6030927835051546,0.5679611650485437,0.3644413352012634
175,"L= 3, N=10, LR=0.1, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
176,"L= 4, N=10, LR=0.1, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
177,"L= 2, N=20, LR=0.1, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.3376974231088944,0.3416252072968491,0.20325,0.206,23,0.206,1.0,0.08364534378051758
178,"L= 3, N=20, LR=0.1, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
179,"L= 4, N=20, LR=0.1, batch_size=32, regularizer=False, drop_out=True, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
180,"L= 2, N=10, LR=0.1, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.593625498007968,0.5648148148148148,0.8215,0.812,61,0.5398230088495575,0.5922330097087378,0.3396615982055664
181,"L= 3, N=10, LR=0.1, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
182,"L= 4, N=10, LR=0.1, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
183,"L= 2, N=20, LR=0.1, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.0,0.0,0.796875,0.794,22,0.0,0.0,0.0
184,"L= 3, N=20, LR=0.1, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
185,"L= 4, N=20, LR=0.1, batch_size=16, regularizer=False, drop_out=False, Opt=Adam, relu",0.0,0.0,0.796875,0.794,21,0.0,0.0,0.0
186,"L= 2, N=10, LR=0.1, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6355721393034827,0.5982028241335045,0.8535,0.8435,32,0.6348773841961853,0.5655339805825242,0.32513272762298584
187,"L= 3, N=10, LR=0.1, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6034912718204489,0.5616264294790343,0.841,0.8275,22,0.5893333333333334,0.5364077669902912,0.5384274125099182
188,"L= 4, N=10, LR=0.1, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
189,"L= 2, N=20, LR=0.1, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.6565064478311841,0.6097271648873073,0.8535,0.8355,41,0.5962877030162413,0.6237864077669902,0.2971406579017639
190,"L= 3, N=20, LR=0.1, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.4224461568859909,0.43690851735015773,0.634625,0.643,21,0.3235981308411215,0.6723300970873787,0.2438536286354065
191,"L= 4, N=20, LR=0.1, batch_size=32, regularizer=False, drop_out=False, Opt=Adam, relu",0.33766233766233766,0.3416252072968491,0.203125,0.206,21,0.206,1.0,0.0
